S000000668	P25382
S000002304	P53622
S000005645	Q12196
S000001088	P38710
S000002695	Q05533
S000003664	P08018
S000006061	P32491
S000003780	P41903
S000006317	P06197
S000004678	Q04773
S000000337	P38274
S000004310	Q06163
S000005959	Q03081
S000000478	P38147
S000005738	P18851
S000000787	P27895
S000006345	P17119
S000001562	P32364
S000005426	Q08227
S000005642	P04051
S000002299	P04050
S000005042	P01120
S000005627	P01119
S000005398	P40303
S000005315	P32838
S000003355	P53043
S000001698	P28273
S000005843	P32798
S000004856	P20107
S000004043	Q12026
S000004640	P33748
S000001545	P33749
S000000932	P39959
S000005300	P32897
S000005922	Q12341
S000000286	P15731
S000002466	P15732
S000003702	P08525
S000006392	Q06580
S000005289	P40343
S000000994	P38753
S000006130	P38991
S000001649	P05986
S000000468	P38146
S000001722	P36018
S000000054	P27825
S000003589	P40335
S000001374	P40480
S000000245	P38225
S000002728	Q06677
S000001667	P08432
S000005483	Q99383
S000003391	P27476
S000001016	P38741
S000003450	P30822
S000006003	P32333
S000003135	P13586
S000002616	P38994
S000002865	Q03280
S000005742	Q12234
S000000416	P32831
S000003293	P38972
S000001236	P38879
S000003126	P38622
S000005376	P22517
S000002259	P39009
S000006071	Q12152
S000000261	P38236
S000002216	P25386
S000004300	Q06704
S000003003	P27705
S000003660	P47017
S000005927	Q12200
S000002210	P33333
S000000438	P38328
S000005318	P53731
S000004362	Q05933
S000001681	P36002
S000001266	P22804
S000002101	P43682
S000006314	P07703
S000005783	P06704
S000005127	P22211
S000005793	Q08732
S000002373	Q12310
S000002183	Q12100
S000003962	P0CG63
S000004190	P52553
S000000884	P40055
S000000194	P38169
S000005319	P53732
S000003173	P13711
S000000507	P25560
S000003516	P53337
S000003034	P53165
S000004911	P25045
S000002469	P40970
S000000329	P38089
S000001849	P07283
S000002483	P38953
S000000981	P25453
S000005095	P17890
S000002514	Q04562
S000004073	P32802
S000006256	P11632
S000002157	P11633
S000004676	Q02486
S000006308	P39521
S000000891	P39966
S000000152	P34221
S000005274	P32561
S000003162	P53096
S000003957	Q07844
S000001251	P38891
S000003909	P47176
S000003893	P46970
S000002803	Q04175
S000004534	Q04636
S000001218	P38865
S000004403	Q06686
S000002542	P39109
S000003938	P14772
S000003971	P32386
S000001811	P0CE68
S000001027	P38735
S000003513	P53049
